Date,Daily Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Confirmed
30-01-2020,1,0,0,0,0,1
31-01-2020,0,0,0,0,0,1
01-02-2020,0,0,0,0,0,1
02-02-2020,1,0,0,0,0,2
03-02-2020,1,0,0,0,0,3
04-02-2020,0,0,0,0,0,3
05-02-2020,0,0,0,0,0,3
06-02-2020,0,0,0,0,0,3
07-02-2020,0,0,0,0,0,3
08-02-2020,0,0,0,0,0,3
09-02-2020,0,0,0,0,0,3
10-02-2020,0,0,0,0,0,3
11-02-2020,0,0,0,0,0,3
12-02-2020,0,0,0,0,0,3
13-02-2020,0,1,1,0,0,3
14-02-2020,0,0,1,0,0,3
15-02-2020,0,0,1,0,0,3
16-02-2020,0,1,2,0,0,3
17-02-2020,0,0,2,0,0,3
18-02-2020,0,0,2,0,0,3
19-02-2020,0,0,2,0,0,3
20-02-2020,0,1,3,0,0,3
21-02-2020,0,0,3,0,0,3
22-02-2020,0,0,3,0,0,3
23-02-2020,0,0,3,0,0,3
24-02-2020,0,0,3,0,0,3
25-02-2020,0,0,3,0,0,3
26-02-2020,0,0,3,0,0,3
27-02-2020,0,0,3,0,0,3
28-02-2020,0,0,3,0,0,3
29-02-2020,0,0,3,0,0,3
01-03-2020,0,0,3,0,0,3
02-03-2020,2,0,3,0,0,5
03-03-2020,1,0,3,0,0,6
04-03-2020,22,0,3,0,0,28
05-03-2020,2,0,3,0,0,30
06-03-2020,1,0,3,0,0,31
07-03-2020,3,0,3,0,0,34
08-03-2020,5,0,3,0,0,39
09-03-2020,9,0,3,0,0,48
10-03-2020,15,1,4,0,0,63
11-03-2020,8,0,4,0,0,71
12-03-2020,10,0,4,1,1,81
13-03-2020,10,6,10,0,1,91
14-03-2020,11,0,10,1,2,102
15-03-2020,10,3,13,0,2,112
16-03-2020,14,1,14,0,2,126
17-03-2020,20,1,15,1,3,146
18-03-2020,25,0,15,0,3,171
19-03-2020,27,5,20,1,4,198
20-03-2020,58,3,23,0,4,256
21-03-2020,78,0,23,0,4,334
22-03-2020,69,0,23,3,7,403
23-03-2020,94,2,25,2,9,497
24-03-2020,74,15,40,1,10,571
25-03-2020,86,3,43,1,11,657
26-03-2020,73,7,50,5,16,730
27-03-2020,153,25,75,3,19,883
28-03-2020,136,10,85,5,24,1019
29-03-2020,120,17,102,3,27,1139
30-03-2020,187,35,137,14,41,1326
31-03-2020,309,13,150,6,47,1635
01-04-2020,424,19,169,6,53,2059
02-04-2020,486,22,191,16,69,2545
03-04-2020,560,39,230,14,83,3105
04-04-2020,579,56,286,13,96,3684
05-04-2020,609,43,329,22,118,4293
06-04-2020,484,65,394,16,134,4777
07-04-2020,573,75,469,27,161,5350
08-04-2020,565,96,565,20,181,5915
09-04-2020,813,70,635,46,227,6728
10-04-2020,871,151,786,22,249,7599
11-04-2020,854,186,972,41,290,8453
12-04-2020,758,114,1086,42,332,9211
13-04-2020,1243,112,1198,27,359,10454
14-04-2020,1031,167,1365,37,396,11485
15-04-2020,886,144,1509,27,423,12371
16-04-2020,1061,258,1767,26,449,13432
17-04-2020,922,273,2040,38,487,14354
18-04-2020,1371,426,2466,35,522,15725
19-04-2020,1580,388,2854,38,560,17305
20-04-2020,1239,419,3273,33,593,18544
21-04-2020,1537,703,3976,53,646,20081
22-04-2020,1292,394,4370,36,682,21373
23-04-2020,1667,642,5012,40,722,23040
24-04-2020,1408,484,5496,59,781,24448
25-04-2020,1835,442,5938,44,825,26283
26-04-2020,1607,585,6523,56,881,27890
27-04-2020,1568,580,7103,58,939,29458
28-04-2020,1902,636,7739,69,1008,31360
29-04-2020,1705,690,8429,71,1079,33065
30-04-2020,1801,630,9059,75,1154,34866
01-05-2020,2396,962,10021,77,1231,37262
02-05-2020,2564,831,10852,92,1323,39826
03-05-2020,2952,911,11763,140,1463,42778
04-05-2020,3656,1082,12845,103,1566,46434
05-05-2020,2971,1295,14140,128,1694,49405
06-05-2020,3602,1161,15301,91,1785,53007
07-05-2020,3344,1475,16776,104,1889,56351
08-05-2020,3339,1111,17887,97,1986,59690
09-05-2020,3175,1414,19301,115,2101,62865
10-05-2020,4311,1669,20970,112,2213,67176
11-05-2020,3592,1579,22549,81,2294,70768
12-05-2020,3562,1905,24454,120,2414,74330
13-05-2020,3726,1963,26417,137,2551,78056
14-05-2020,3991,1594,28011,97,2648,82047
15-05-2020,3808,2234,30245,104,2752,85855
16-05-2020,4794,4012,34257,120,2872,90649
17-05-2020,5049,2538,36795,152,3024,95698
18-05-2020,4628,2482,39277,131,3155,100326
19-05-2020,6154,3032,42309,146,3301,106480
20-05-2020,5720,3113,45422,134,3435,112200
21-05-2020,6023,3131,48553,148,3583,118223
22-05-2020,6536,3280,51833,142,3725,124759
23-05-2020,6667,2576,54409,142,3867,131424
24-05-2020,7111,3285,57694,156,4023,138537
25-05-2020,6414,3012,60706,150,4173,144951
26-05-2020,5907,3585,64291,173,4346,150858
27-05-2020,7246,3434,67725,188,4534,158104
28-05-2020,7254,3171,70896,176,4710,165358
29-05-2020,8138,11735,82631,269,4979,173496
30-05-2020,8364,4303,86934,205,5184,181860
31-05-2020,8789,4928,91862,222,5406,190649
01-06-2020,7723,3882,95744,201,5607,198372
02-06-2020,8812,4531,100275,222,5829,207187
03-06-2020,9689,3789,104064,259,6088,216876
04-06-2020,9847,4390,108454,274,6362,226723
05-06-2020,9472,4770,113224,286,6648,236195
06-06-2020,10408,5433,118657,297,6945,246603
07-06-2020,10882,5191,123848,261,7206,257485
08-06-2020,8536,5171,129019,271,7477,266021
09-06-2020,9981,5634,134653,272,7749,276002
10-06-2020,11156,6275,140928,358,8107,287158
11-06-2020,11135,6044,146972,394,8501,298293
12-06-2020,11306,7263,154235,388,8889,309599
13-06-2020,12039,8092,162327,309,9198,321638
14-06-2020,11405,7358,169685,324,9522,333043
15-06-2020,10032,10639,180324,396,9918,343075
16-06-2020,11086,7226,187550,2004,11922,354161
17-06-2020,13108,6890,194440,341,12263,367269
18-06-2020,13829,10741,205181,343,12606,381098
19-06-2020,14740,9029,214210,364,12970,395838
20-06-2020,15918,13974,228184,308,13278,411753
21-06-2020,15151,9075,237259,426,13704,426904
22-06-2020,13560,10879,248138,312,14016,440464
23-06-2020,15656,10462,258600,468,14484,456120
24-06-2020,16868,13089,271689,424,14908,472988
25-06-2020,18205,13983,285672,401,15309,491193
26-06-2020,18255,10246,295918,381,15690,509448
27-06-2020,20142,14229,310147,414,16104,529590
28-06-2020,19610,11631,321778,384,16488,549200
29-06-2020,18339,13497,335275,417,16905,567539
30-06-2020,18256,12565,347840,506,17411,585795
01-07-2020,19429,12064,359904,438,17849,605224
02-07-2020,21947,19999,379903,378,18227,627171
03-07-2020,22718,14417,394320,444,18671,649889
04-07-2020,24018,14746,409066,611,19282,673907
05-07-2020,23942,15829,424895,421,19703,697849
06-07-2020,22500,15315,440210,473,20176,720349
07-07-2020,23147,16836,457046,479,20655,743496
08-07-2020,25561,19508,476554,492,21147,769057
09-07-2020,25790,19408,495962,479,21626,794847
10-07-2020,27762,20289,516251,520,22146,822609
11-07-2020,27757,19981,536232,543,22689,850366
12-07-2020,29106,18198,554430,500,23189,879472
13-07-2020,28178,17683,572113,541,23730,907650
14-07-2020,29917,20977,593090,587,24317,937567
15-07-2020,32607,20646,613736,614,24931,970174
16-07-2020,35468,22867,636603,680,25611,1005642
17-07-2020,34820,17476,654079,676,26287,1040462
18-07-2020,37411,23583,677662,543,26830,1077873
19-07-2020,40235,22730,700392,675,27505,1118108
20-07-2020,36806,24303,724695,596,28101,1154914
21-07-2020,39170,27589,752284,671,28772,1194084
22-07-2020,45601,31875,784159,1130,29902,1239685
23-07-2020,48443,33326,817485,755,30657,1288128
24-07-2020,48888,32514,849999,763,31420,1337016
25-07-2020,50072,37125,887124,703,32123,1387088
26-07-2020,48932,31512,918636,704,32827,1436020
27-07-2020,46484,34354,952990,642,33469,1482504
28-07-2020,49631,35683,988673,774,34243,1532135
29-07-2020,52479,32886,1021559,775,35018,1584614
30-07-2020,54750,37425,1058984,783,35801,1639364
